participant session age sex frameRate key_answer_TR.corr key_answer_TR.rt key_answer_WM.corr key_answer_WM.rt key_num_ans_1.corr key_num_ans_2.corr key_num_ans_3.corr key_num_ans_4.corr shapesWM shapesAns shapesTR correct_key_WM conditionTR flicker_time
990 Evening 27 Female 60.0024001 0 0.6708 1 0.7689 0 0 0 0 shapes/square.png shapes/square.png shapes/triangle.png y shapes/black.png 7
990 Evening 27 Female 60.0024001 0 0.7677 1 0.5345 0 0 0 0 shapes/triangle.png shapes/square.png shapes/circle.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 0 0.6337 1 368 0 0 0 0 shapes/circle.png shapes/square.png shapes/triangle.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 1 0.6843 1 0.4508 0 0 0 0 shapes/square.png shapes/triangle.png shapes/square.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 0 567 1 0.4835 0 0 0 0 shapes/circle.png shapes/square.png shapes/circle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 1 0.5349 1 0.4177 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/circle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 0 1.4676 0 0.3176 0 0 0 0 shapes/square.png shapes/square.png shapes/triangle.png y shapes/black.png 7
990 Evening 27 Female 60.0024001 0 2.3345 1 1.3175 0 0 0 0 shapes/triangle.png shapes/circle.png shapes/square.png n shapes/square.png 6
990 Evening 27 Female 60.0024001 1 1.2343 1 0.4008 0 0 0 0 shapes/square.png shapes/square.png shapes/square.png y shapes/square.png 6
990 Evening 27 Female 60.0024001 1 0.5515 1 0.4347 0 0 0 0 shapes/triangle.png shapes/circle.png shapes/triangle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 1 0.5511 1 0.77 1 1 0 1 shapes/square.png shapes/triangle.png shapes/square.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 0 1.2503 1 0.4499 1 1 1 1 shapes/square.png shapes/square.png shapes/circle.png y shapes/circle.png 7
990 Evening 27 Female 60.0024001 0 1.5345 1 0.4865 0 0 0 0 shapes/triangle.png shapes/square.png shapes/triangle.png n shapes/triangle.png 6
990 Evening 27 Female 60.0024001 1 0.8844 1 0.7012 0 0 0 0 shapes/square.png shapes/triangle.png shapes/circle.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 1 0.9673 1 1.2662 0 0 0 0 shapes/triangle.png shapes/circle.png shapes/triangle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 1 2.3369 1 0.5349 0 0 0 0 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 7
990 Evening 27 Female 60.0024001 1 0.5344 1 1.318 1 1 1 1 shapes/circle.png shapes/triangle.png shapes/circle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 1 0.6507 1 4.2657 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 0 0.7826 1 0.4009 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/triangle.png y shapes/triangle.png 7
990 Evening 27 Female 60.0024001 0 2.3181 1 0.5795 0 0 0 0 shapes/triangle.png shapes/circle.png shapes/square.png n shapes/square.png 6
990 Evening 27 Female 60.0024001 1 0.7002 1 1.8827 1 1 1 1 shapes/square.png shapes/triangle.png shapes/square.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 1 2.0521 1 0.4181 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/circle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 0 2.8672 1 1.6576 0 0 0 0 shapes/circle.png shapes/square.png shapes/circle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 1 1.6175 1 1.4692 0 0 0 0 shapes/triangle.png shapes/circle.png shapes/triangle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 1 0.9439 1 1.7581 0 0 0 0 shapes/square.png shapes/circle.png shapes/triangle.png n shapes/triangle.png 7
991 Morning 24 Male 59.96641881 1 0.9186 1 1.1008 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
991 Morning 24 Male 59.96641881 0 1.0875 1 0.7175 1 1 1 1 shapes/triangle.png shapes/triangle.png shapes/triangle.png y shapes/triangle.png 7
991 Morning 24 Male 59.96641881 1 0.5403 1 0.5717 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
991 Morning 24 Male 59.96641881 1 1.3106 1 0.6838 0 0 0 0 shapes/square.png shapes/square.png shapes/square.png y shapes/square.png 6
991 Morning 24 Male 59.96641881 0 0.6457 1 0.5725 0 0 0 0 shapes/triangle.png shapes/square.png shapes/circle.png n shapes/black.png 7
991 Morning 24 Male 59.96641881 0 1.0712 1 559 0 0 0 0 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 6
991 Morning 24 Male 59.96641881 1 939 1 0.6091 0 0 0 0 shapes/triangle.png shapes/square.png shapes/triangle.png n shapes/triangle.png 6
991 Morning 24 Male 59.96641881 1 1.7073 1 0.4122 0 0 0 0 shapes/square.png shapes/circle.png shapes/square.png n shapes/square.png 7
991 Morning 24 Male 59.96641881 1 1.0346 1 1.0254 0 0 0 0 shapes/triangle.png shapes/square.png shapes/triangle.png n shapes/triangle.png 6
991 Morning 24 Male 59.96641881 1 1.4184 1 0.7716 0 0 0 0 shapes/square.png shapes/triangle.png shapes/square.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 0 0.9764 1 0.5481 0 0 0 0 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 6
991 Morning 24 Male 59.96641881 1 1.0661 1 0.6175 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/circle.png y shapes/circle.png 6
991 Morning 24 Male 59.96641881 0 0.9676 1 0.4894 0 0 0 0 shapes/circle.png shapes/circle.png shapes/square.png y shapes/square.png 7
991 Morning 24 Male 59.96641881 1 1.046 1 0.6028 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/circle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 1 0.5423 1 0.5386 0 0 0 0 shapes/square.png shapes/triangle.png shapes/square.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 1 0.6341 1 0.3673 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
991 Morning 24 Male 59.96641881 1 1.1843 1 0.5896 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/circle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 0 1.4343 0 1.2187 0 0 0 0 shapes/square.png shapes/square.png shapes/triangle.png y shapes/black.png 7
991 Morning 24 Male 59.96641881 1 0.9067 1 1.4851 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/square.png y shapes/black.png 7
991 Morning 24 Male 59.96641881 1 2.1124 1 0.4566 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
991 Morning 24 Male 59.96641881 0 2.6178 1 0.5177 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/triangle.png y shapes/black.png 6
991 Morning 24 Male 59.96641881 1 1.1708 1 0.4128 1 1 1 1 shapes/triangle.png shapes/circle.png shapes/triangle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 1 0.8012 1 0.2794 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/circle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 1 768 1 0.7614 0 0 0 0 shapes/circle.png shapes/circle.png shapes/triangle.png y shapes/triangle.png 6
991 Morning 24 Male 59.96641881 1 984 1 0.4189 0 0 0 0 shapes/square.png shapes/circle.png shapes/triangle.png n shapes/triangle.png 7
991 Morning 24 Male 59.96641881 0 0.8843 1 0.4286 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/triangle.png y shapes/triangle.png 7
991 Morning 24 Male 59.96641881 0 2.5394 1 0.4864 0 0 0 0 shapes/triangle.png shapes/circle.png shapes/square.png n shapes/square.png 6
991 Morning 24 Male 59.96641881 0 0.4793 1 467 0 0 0 0 shapes/circle.png shapes/square.png shapes/circle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 0 0.6939 1 0.7457 1 1 1 1 shapes/circle.png shapes/square.png shapes/circle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 0 0.6833 1 0.7183 0 0 0 0 shapes/circle.png shapes/square.png shapes/triangle.png n shapes/black.png 7
991 Morning 24 Male 59.96641881 1 0.6596 1 0.3608 0 0 0 0 shapes/triangle.png shapes/circle.png shapes/triangle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 0 0.7348 1 0.4864 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/triangle.png y shapes/black.png 6
991 Morning 24 Male 59.96641881 0 0.7823 1 0.4675 0 0 0 0 shapes/circle.png shapes/square.png shapes/triangle.png n shapes/black.png 7
991 Morning 24 Male 59.96641881 0 965 1 1.1843 0 0 0 0 shapes/square.png shapes/circle.png shapes/triangle.png n shapes/triangle.png 7
991 Morning 24 Male 59.96641881 0 0.8614 1 0.5006 0 0 0 0 shapes/circle.png shapes/square.png shapes/circle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 1 0.8458 1 0.4731 0 0 0 0 shapes/square.png shapes/square.png shapes/square.png y shapes/black.png 6
991 Morning 24 Male 59.96641881 0 0.8074 1 1.2706 0 0 0 0 shapes/square.png shapes/square.png shapes/circle.png y shapes/circle.png 7
991 Morning 24 Male 59.96641881 0 1.0008 1 1.2567 0 0 0 0 shapes/circle.png shapes/circle.png shapes/square.png y shapes/square.png 7
991 Morning 24 Male 59.96641881 1 939 1 0.9339 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/circle.png y shapes/circle.png 6
991 Morning 24 Male 59.96641881 1 0.5276 1 0.4974 0 0 0 0 shapes/square.png shapes/circle.png shapes/square.png n shapes/square.png 7
991 Morning 24 Male 59.96641881 1 0.7628 1 0.4884 1 1 1 1 shapes/triangle.png shapes/circle.png shapes/triangle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 1 0.4742 1 1.6977 0 0 0 0 shapes/triangle.png shapes/circle.png shapes/triangle.png n shapes/black.png 6
991 Morning 24 Male 59.96641881 1 0.5888 1 0.3328 0 0 0 0 shapes/triangle.png shapes/circle.png shapes/triangle.png n shapes/black.png 6
